time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,22,9,0,0
2026-08-05 00:00:00+00:00,9,4,1,1
2026-08-06 00:00:00+00:00,20,6,1,1
2026-08-07 00:00:00+00:00,16,6,0,0
2026-08-08 00:00:00+00:00,22,9,0,0
2026-08-09 00:00:00+00:00,8,4,0,0
2026-08-10 00:00:00+00:00,2,2,3,1
2026-08-11 00:00:00+00:00,16,6,1,1
2026-08-12 00:00:00+00:00,9,4,5,3
2026-08-13 00:00:00+00:00,13,8,3,1
2026-08-14 00:00:00+00:00,17,13,0,0
2026-08-15 00:00:00+00:00,9,4,0,0
2026-08-16 00:00:00+00:00,2,2,0,0
2026-08-17 00:00:00+00:00,6,6,0,0
