instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
record_1,spring,2011yr,jan,no_holiday,weekday_6,not_workday,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985
record_2,spring,2011yr,jan,no_holiday,weekday_0,not_workday,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801
record_3,spring,2011yr,jan,no_holiday,weekday_1,workday,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349
record_4,spring,2011yr,jan,no_holiday,weekday_2,workday,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562
record_5,spring,2011yr,jan,no_holiday,weekday_3,workday,Clear,0.226957,0.22927,0.436957,0.1869,82,1518,1600
record_6,spring,2011yr,jan,no_holiday,weekday_4,workday,Clear,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
record_7,spring,2011yr,jan,no_holiday,weekday_5,workday,Mist,0.196522,0.208839,0.498696,0.168726,148,1362,1510
record_8,spring,2011yr,jan,no_holiday,weekday_6,not_workday,Mist,0.165,0.162254,0.535833,0.266804,68,891,959
record_9,spring,2011yr,jan,no_holiday,weekday_0,not_workday,Clear,0.138333,0.116175,0.434167,0.36195,54,768,822
record_10,spring,2011yr,jan,no_holiday,weekday_1,workday,Clear,0.150833,0.150888,0.482917,0.223267,41,1280,1321
record_11,spring,2011yr,jan,no_holiday,weekday_2,workday,Mist,0.169091,0.191464,0.686364,0.122132,43,1220,1263
record_12,spring,2011yr,jan,no_holiday,weekday_3,workday,Clear,0.172727,0.160473,0.599545,0.304627,25,1137,1162
record_13,spring,2011yr,jan,no_holiday,weekday_4,workday,Clear,0.165,0.150883,0.470417,0.301,38,1368,1406
record_14,spring,2011yr,jan,no_holiday,weekday_5,workday,Clear,0.16087,0.188413,0.537826,0.126548,54,1367,1421
record_15,spring,2011yr,jan,no_holiday,weekday_6,not_workday,Mist,0.233333,0.248112,0.49875,0.157963,222,1026,1248
record_16,spring,2011yr,jan,no_holiday,weekday_0,not_workday,Clear,0.231667,0.234217,0.48375,0.188433,251,953,1204
record_17,spring,2011yr,jan,holiday,weekday_1,not_workday,Mist,0.175833,0.176771,0.5375,0.194017,117,883,1000
record_18,spring,2011yr,jan,no_holiday,weekday_2,workday,Mist,0.216667,0.232333,0.861667,0.146775,9,674,683
record_19,spring,2011yr,jan,no_holiday,weekday_3,workday,Mist,0.292174,0.298422,0.741739,0.208317,78,1572,1650
record_20,spring,2011yr,jan,no_holiday,weekday_4,workday,Mist,0.261667,0.25505,0.538333,0.195904,83,1844,1927
record_21,spring,2011yr,jan,no_holiday,weekday_5,workday,Clear,0.1775,0.157833,0.457083,0.353242,75,1468,1543
record_22,spring,2011yr,jan,no_holiday,weekday_6,not_workday,Clear,0.0591304,0.0790696,0.4,0.17197,93,888,981
record_23,spring,2011yr,jan,no_holiday,weekday_0,not_workday,Clear,0.0965217,0.0988391,0.436522,0.2466,150,836,986
record_24,spring,2011yr,jan,no_holiday,weekday_1,workday,Clear,0.0973913,0.11793,0.491739,0.15833,86,1330,1416
record_25,spring,2011yr,jan,no_holiday,weekday_2,workday,Mist,0.223478,0.234526,0.616957,0.129796,186,1799,1985
record_26,spring,2011yr,jan,no_holiday,weekday_3,workday,Light Snow-Light Rain,0.2175,0.2036,0.8625,0.29385,34,472,506
record_27,spring,2011yr,jan,no_holiday,weekday_4,workday,Clear,0.195,0.2197,0.6875,0.113837,15,416,431
record_28,spring,2011yr,jan,no_holiday,weekday_5,workday,Mist,0.203478,0.223317,0.793043,0.1233,38,1129,1167
record_29,spring,2011yr,jan,no_holiday,weekday_6,not_workday,Clear,0.196522,0.212126,0.651739,0.145365,123,975,1098
record_30,spring,2011yr,jan,no_holiday,weekday_0,not_workday,Clear,0.216522,0.250322,0.722174,0.0739826,140,956,1096
record_31,spring,2011yr,jan,no_holiday,weekday_1,workday,Mist,0.180833,0.18625,0.60375,0.187192,42,1459,1501
record_32,spring,2011yr,feb,no_holiday,weekday_2,workday,Mist,0.192174,0.23453,0.829565,0.053213,47,1313,1360
record_33,spring,2011yr,feb,no_holiday,weekday_3,workday,Mist,0.26,0.254417,0.775417,0.264308,72,1454,1526
record_34,spring,2011yr,feb,no_holiday,weekday_4,workday,Clear,0.186957,0.177878,0.437826,0.277752,61,1489,1550
record_35,spring,2011yr,feb,no_holiday,weekday_5,workday,Mist,0.211304,0.228587,0.585217,0.127839,88,1620,1708
record_36,spring,2011yr,feb,no_holiday,weekday_6,not_workday,Mist,0.233333,0.243058,0.929167,0.161079,100,905,1005
record_37,spring,2011yr,feb,no_holiday,weekday_0,not_workday,Clear,0.285833,0.291671,0.568333,0.1418,354,1269,1623
record_38,spring,2011yr,feb,no_holiday,weekday_1,workday,Clear,0.271667,0.303658,0.738333,0.0454083,120,1592,1712
record_39,spring,2011yr,feb,no_holiday,weekday_2,workday,Clear,0.220833,0.198246,0.537917,0.36195,64,1466,1530
record_40,spring,2011yr,feb,no_holiday,weekday_3,workday,Mist,0.134783,0.144283,0.494783,0.188839,53,1552,1605
record_41,spring,2011yr,feb,no_holiday,weekday_4,workday,Clear,0.144348,0.149548,0.437391,0.221935,47,1491,1538
record_42,spring,2011yr,feb,no_holiday,weekday_5,workday,Clear,0.189091,0.213509,0.506364,0.10855,149,1597,1746
record_43,spring,2011yr,feb,no_holiday,weekday_6,not_workday,Clear,0.2225,0.232954,0.544167,0.203367,288,1184,1472
record_44,spring,2011yr,feb,no_holiday,weekday_0,not_workday,Clear,0.316522,0.324113,0.457391,0.260883,397,1192,1589
record_45,spring,2011yr,feb,no_holiday,weekday_1,workday,Clear,0.415,0.39835,0.375833,0.417908,208,1705,1913
record_46,spring,2011yr,feb,no_holiday,weekday_2,workday,Clear,0.266087,0.254274,0.314348,0.291374,140,1675,1815
record_47,spring,2011yr,feb,no_holiday,weekday_3,workday,Clear,0.318261,0.3162,0.423478,0.251791,218,1897,2115
record_48,spring,2011yr,feb,no_holiday,weekday_4,workday,Clear,0.435833,0.428658,0.505,0.230104,259,2216,2475
record_49,spring,2011yr,feb,no_holiday,weekday_5,workday,Clear,0.521667,0.511983,0.516667,0.264925,579,2348,2927
record_50,spring,2011yr,feb,no_holiday,weekday_6,not_workday,Clear,0.399167,0.391404,0.187917,0.507463,532,1103,1635
record_51,spring,2011yr,feb,no_holiday,weekday_0,not_workday,Clear,0.285217,0.27733,0.407826,0.223235,639,1173,1812
record_52,spring,2011yr,feb,holiday,weekday_1,not_workday,Mist,0.303333,0.284075,0.605,0.307846,195,912,1107
record_53,spring,2011yr,feb,no_holiday,weekday_2,workday,Clear,0.182222,0.186033,0.577778,0.195683,74,1376,1450
record_54,spring,2011yr,feb,no_holiday,weekday_3,workday,Clear,0.221739,0.245717,0.423043,0.094113,139,1778,1917
record_55,spring,2011yr,feb,no_holiday,weekday_4,workday,Mist,0.295652,0.289191,0.697391,0.250496,100,1707,1807
record_56,spring,2011yr,feb,no_holiday,weekday_5,workday,Mist,0.364348,0.350461,0.712174,0.346539,120,1341,1461
record_57,spring,2011yr,feb,no_holiday,weekday_6,not_workday,Clear,0.2825,0.282192,0.537917,0.186571,424,1545,1969
record_58,spring,2011yr,feb,no_holiday,weekday_0,not_workday,Clear,0.343478,0.351109,0.68,0.125248,694,1708,2402
record_59,spring,2011yr,feb,no_holiday,weekday_1,workday,Mist,0.407273,0.400118,0.876364,0.289686,81,1365,1446
record_60,spring,2011yr,mar,no_holiday,weekday_2,workday,Clear,0.266667,0.263879,0.535,0.216425,137,1714,1851
record_61,spring,2011yr,mar,no_holiday,weekday_3,workday,Clear,0.335,0.320071,0.449583,0.307833,231,1903,2134
record_62,spring,2011yr,mar,no_holiday,weekday_4,workday,Clear,0.198333,0.200133,0.318333,0.225754,123,1562,1685
record_63,spring,2011yr,mar,no_holiday,weekday_5,workday,Mist,0.261667,0.255679,0.610417,0.203346,214,1730,1944
record_64,spring,2011yr,mar,no_holiday,weekday_6,not_workday,Mist,0.384167,0.378779,0.789167,0.251871,640,1437,2077
record_65,spring,2011yr,mar,no_holiday,weekday_0,not_workday,Mist,0.376522,0.366252,0.948261,0.343287,114,491,605
record_66,spring,2011yr,mar,no_holiday,weekday_1,workday,Clear,0.261739,0.238461,0.551304,0.341352,244,1628,1872
record_67,spring,2011yr,mar,no_holiday,weekday_2,workday,Clear,0.2925,0.3024,0.420833,0.12065,316,1817,2133
record_68,spring,2011yr,mar,no_holiday,weekday_3,workday,Mist,0.295833,0.286608,0.775417,0.22015,191,1700,1891
record_69,spring,2011yr,mar,no_holiday,weekday_4,workday,Light Snow-Light Rain,0.389091,0.385668,0,0.261877,46,577,623
record_70,spring,2011yr,mar,no_holiday,weekday_5,workday,Mist,0.316522,0.305,0.649565,0.23297,247,1730,1977
record_71,spring,2011yr,mar,no_holiday,weekday_6,not_workday,Clear,0.329167,0.32575,0.594583,0.220775,724,1408,2132
