instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
record_1,spring,2011yr,jan,hour_0,no_holiday,weekday_6,not_workday,Clear,0.24,0.2879,0.81,0,3,13,16
record_2,spring,2011yr,jan,hour_1,no_holiday,weekday_6,not_workday,Clear,0.22,0.2727,0.8,0,8,32,40
record_3,spring,2011yr,jan,hour_2,no_holiday,weekday_6,not_workday,Clear,0.22,0.2727,0.8,0,5,27,32
record_4,spring,2011yr,jan,hour_3,no_holiday,weekday_6,not_workday,Clear,0.24,0.2879,0.75,0,3,10,13
record_5,spring,2011yr,jan,hour_4,no_holiday,weekday_6,not_workday,Clear,0.24,0.2879,0.75,0,0,1,1
record_6,spring,2011yr,jan,hour_5,no_holiday,weekday_6,not_workday,Mist,0.24,0.2576,0.75,0.0896,0,1,1
record_7,spring,2011yr,jan,hour_6,no_holiday,weekday_6,not_workday,Clear,0.22,0.2727,0.8,0,2,0,2
record_8,spring,2011yr,jan,hour_7,no_holiday,weekday_6,not_workday,Clear,0.2,0.2576,0.86,0,1,2,3
record_9,spring,2011yr,jan,hour_8,no_holiday,weekday_6,not_workday,Clear,0.24,0.2879,0.75,0,1,7,8
record_10,spring,2011yr,jan,hour_9,no_holiday,weekday_6,not_workday,Clear,0.32,0.3485,0.76,0,8,6,14
record_11,spring,2011yr,jan,hour_10,no_holiday,weekday_6,not_workday,Clear,0.38,0.3939,0.76,0.2537,12,24,36
record_12,spring,2011yr,jan,hour_11,no_holiday,weekday_6,not_workday,Clear,0.36,0.3333,0.81,0.2836,26,30,56
record_13,spring,2011yr,jan,hour_12,no_holiday,weekday_6,not_workday,Clear,0.42,0.4242,0.77,0.2836,29,55,84
record_14,spring,2011yr,jan,hour_13,no_holiday,weekday_6,not_workday,Mist,0.46,0.4545,0.72,0.2985,47,47,94
record_15,spring,2011yr,jan,hour_14,no_holiday,weekday_6,not_workday,Mist,0.46,0.4545,0.72,0.2836,35,71,106
record_16,spring,2011yr,jan,hour_15,no_holiday,weekday_6,not_workday,Mist,0.44,0.4394,0.77,0.2985,40,70,110
record_17,spring,2011yr,jan,hour_16,no_holiday,weekday_6,not_workday,Mist,0.42,0.4242,0.82,0.2985,41,52,93
record_18,spring,2011yr,jan,hour_17,no_holiday,weekday_6,not_workday,Mist,0.44,0.4394,0.82,0.2836,15,52,67
record_19,spring,2011yr,jan,hour_18,no_holiday,weekday_6,not_workday,Light Snow-Light Rain,0.42,0.4242,0.88,0.2537,9,26,35
record_20,spring,2011yr,jan,hour_19,no_holiday,weekday_6,not_workday,Light Snow-Light Rain,0.42,0.4242,0.88,0.2537,6,31,37
record_21,spring,2011yr,jan,hour_20,no_holiday,weekday_6,not_workday,Mist,0.4,0.4091,0.87,0.2537,11,25,36
record_22,spring,2011yr,jan,hour_21,no_holiday,weekday_6,not_workday,Mist,0.4,0.4091,0.87,0.194,3,31,34
record_23,spring,2011yr,jan,hour_22,no_holiday,weekday_6,not_workday,Mist,0.4,0.4091,0.94,0.2239,11,17,28
record_24,spring,2011yr,jan,hour_23,no_holiday,weekday_6,not_workday,Mist,0.46,0.4545,0.88,0.2985,15,24,39
record_25,spring,2011yr,jan,hour_0,no_holiday,weekday_0,not_workday,Mist,0.46,0.4545,0.88,0.2985,4,13,17
record_26,spring,2011yr,jan,hour_1,no_holiday,weekday_0,not_workday,Mist,0.44,0.4394,0.94,0.2537,1,16,17
record_27,spring,2011yr,jan,hour_2,no_holiday,weekday_0,not_workday,Mist,0.42,0.4242,1,0.2836,1,8,9
record_28,spring,2011yr,jan,hour_3,no_holiday,weekday_0,not_workday,Mist,0.46,0.4545,0.94,0.194,2,4,6
record_29,spring,2011yr,jan,hour_4,no_holiday,weekday_0,not_workday,Mist,0.46,0.4545,0.94,0.194,2,1,3
record_30,spring,2011yr,jan,hour_6,no_holiday,weekday_0,not_workday,Light Snow-Light Rain,0.42,0.4242,0.77,0.2985,0,2,2
record_31,spring,2011yr,jan,hour_7,no_holiday,weekday_0,not_workday,Mist,0.4,0.4091,0.76,0.194,0,1,1
record_32,spring,2011yr,jan,hour_8,no_holiday,weekday_0,not_workday,Light Snow-Light Rain,0.4,0.4091,0.71,0.2239,0,8,8
