Sample	Category
UCI_1	Industrialized
UCI_2	Industrialized
UCI_3	Industrialized
UCI_4	Industrialized
UCI_5	Industrialized
UCI_6	Industrialized
UCI_7	Industrialized
UCI_8	Industrialized
UCI_9	Industrialized
UCI_10	Industrialized
UCI_11	Industrialized
UCI_12	Industrialized
UCI_13	Industrialized
UCI_14	Industrialized
UCI_15	Industrialized
UCI_16	Industrialized
UCI_17	Industrialized
UCI_18	Industrialized
UCI_19	Industrialized
UCI_20	Industrialized
UCI_21	Industrialized
UCI_22	Industrialized
UCI_23	Industrialized
UCI_24	Industrialized
UCI_25	Industrialized
UCI_26	Industrialized
UCI_27	Industrialized
UCI_28	Industrialized
UCI_29	Industrialized
UCI_30	Industrialized
UCI_31	Industrialized
UCI_32	Industrialized
UCI_33	Industrialized
UCI_34	Industrialized
UCI_35	Industrialized
UCI_36	Industrialized
UCI_37	Industrialized
UCI_38	Industrialized
UCI_39	Industrialized
UCI_40	Industrialized
UCI_41	Industrialized
UCI_42	Industrialized
UCI_43	Industrialized
UCI_44	Industrialized
UCI_45	Industrialized
UCI_46	Industrialized
UCI_47	Industrialized
UCI_48	Industrialized
UCI_49	Industrialized
UCI_50	Industrialized
UCI_51	Industrialized
UCI_52	Industrialized
UCI_53	Industrialized
UCI_54	Industrialized
UCI_55	Industrialized
UCI_56	Industrialized
UCI_57	Industrialized
UCI_58	Industrialized
UCI_59	Industrialized
UCI_60	Industrialized
UCI_61	Industrialized
UCI_62	Industrialized
UCI_63	Industrialized
UCI_64	Industrialized
UCI_65	Industrialized
UCI_66	Industrialized
UCI_67	Industrialized
UCI_68	Industrialized
UCI_69	Industrialized
UCI_70	Industrialized
UCI_71	Industrialized
UCI_72	Industrialized
UCI_73	Industrialized
UCI_74	Industrialized
UCI_75	Industrialized
UCI_76	Industrialized
UCI_77	Industrialized
UCI_78	Industrialized
UCI_79	Industrialized
UCI_80	Industrialized
UCI_81	Industrialized
UCI_82	Industrialized
UCI_83	Industrialized
UCI_84	Industrialized
UCI_85	Industrialized
UCI_86	Industrialized
hadza_1	Non_industrialized
hadza_2	Non_industrialized
hadza_3	Non_industrialized
hadza_4	Non_industrialized
hadza_5	Non_industrialized
hadza_6	Non_industrialized
hadza_7	Non_industrialized
hadza_8	Non_industrialized
hadza_9	Non_industrialized
hadza_10	Non_industrialized
hadza_11	Non_industrialized
hadza_12	Non_industrialized
hadza_13	Non_industrialized
italy_1	Industrialized
italy_2	Industrialized
italy_3	Industrialized
italy_4	Industrialized
italy_5	Industrialized
italy_6	Industrialized
italy_7	Industrialized
italy_8	Industrialized
hadza_14	Non_industrialized
hadza_15	Non_industrialized
hadza_16	Non_industrialized
hadza_17	Non_industrialized
hadza_18	Non_industrialized
hadza_19	Non_industrialized
hadza_20	Non_industrialized
hadza_21	Non_industrialized
hadza_22	Non_industrialized
hadza_23	Non_industrialized
hadza_24	Non_industrialized
hadza_25	Non_industrialized
MLVS_1	Industrialized
MLVS_2	Industrialized
MLVS_3	Industrialized
MLVS_4	Industrialized
MLVS_5	Industrialized
MLVS_6	Industrialized
MLVS_7	Industrialized
MLVS_8	Industrialized
MLVS_9	Industrialized
MLVS_10	Industrialized
MLVS_11	Industrialized
MLVS_12	Industrialized
MLVS_13	Industrialized
MLVS_14	Industrialized
MLVS_15	Industrialized
MLVS_16	Industrialized
MLVS_17	Industrialized
MLVS_18	Industrialized
MLVS_19	Industrialized
MLVS_20	Industrialized
MLVS_21	Industrialized
MLVS_22	Industrialized
MLVS_23	Industrialized
MLVS_24	Industrialized
MLVS_25	Industrialized
MLVS_26	Industrialized
MLVS_27	Industrialized
MLVS_28	Industrialized
MLVS_29	Industrialized
MLVS_30	Industrialized
MLVS_31	Industrialized
MLVS_32	Industrialized
MLVS_33	Industrialized
MLVS_34	Industrialized
MLVS_35	Industrialized
MLVS_36	Industrialized
MLVS_37	Industrialized
MLVS_38	Industrialized
MLVS_39	Industrialized
