clade_name	UCI_9	UCI_8	UCI_86	UCI_85	UCI_84	UCI_83	UCI_82	UCI_81	UCI_80	UCI_7	UCI_79	UCI_78	UCI_77	UCI_76	UCI_75	UCI_74	UCI_73	UCI_72	UCI_71	UCI_70	UCI_6	UCI_69	UCI_68	UCI_67	UCI_66	UCI_65	UCI_64	UCI_63	UCI_62	UCI_61	UCI_60	UCI_5	UCI_59	UCI_58	UCI_57	UCI_56	UCI_55	UCI_54	UCI_53	UCI_52	UCI_51	UCI_50	UCI_4	UCI_49	UCI_48	UCI_47	UCI_46	UCI_45	UCI_44	UCI_43	UCI_42	UCI_41	UCI_40	UCI_3	UCI_39	UCI_38	UCI_37	UCI_36	UCI_35	UCI_34	UCI_33	UCI_32	UCI_31	UCI_30	UCI_2	UCI_29	UCI_28	UCI_27	UCI_26	UCI_25	UCI_24	UCI_23	UCI_22	UCI_21	UCI_20	UCI_1	UCI_19	UCI_18	UCI_17	UCI_16	UCI_15	UCI_14	UCI_13	UCI_12	UCI_11	UCI_10	MLVS_9	MLVS_8	MLVS_7	MLVS_6	MLVS_5	MLVS_4	MLVS_3	MLVS_36	MLVS_35	MLVS_34	MLVS_33	MLVS_32	MLVS_31	MLVS_30	MLVS_2	MLVS_29	MLVS_28	MLVS_27	MLVS_26	MLVS_25	MLVS_24	MLVS_23	MLVS_22	MLVS_21	MLVS_20	MLVS_1	MLVS_19	MLVS_18	MLVS_17	MLVS_16	MLVS_15	MLVS_14	MLVS_13	MLVS_12	MLVS_11	MLVS_10	Lewis_9	Lewis_99	Lewis_98	Lewis_97	Lewis_96	Lewis_95	Lewis_94	Lewis_93	Lewis_92	Lewis_91	Lewis_90	Lewis_8	Lewis_89	Lewis_88	Lewis_87	Lewis_86	Lewis_85	Lewis_84	Lewis_83	Lewis_82	Lewis_81	Lewis_80	Lewis_7	Lewis_79	Lewis_78	Lewis_77	Lewis_76	Lewis_75	Lewis_74	Lewis_73	Lewis_72	Lewis_71	Lewis_70	Lewis_6	Lewis_69	Lewis_68	Lewis_67	Lewis_66	Lewis_65	Lewis_64	Lewis_63	Lewis_62	Lewis_61	Lewis_60	Lewis_5	Lewis_59	Lewis_58	Lewis_57	Lewis_56	Lewis_55	Lewis_54	Lewis_53	Lewis_52	Lewis_51	Lewis_50	Lewis_4	Lewis_49	Lewis_48	Lewis_47	Lewis_46	Lewis_45	Lewis_44	Lewis_43	Lewis_42	Lewis_41	Lewis_40	Lewis_3	Lewis_39	Lewis_38	Lewis_37	Lewis_36	Lewis_35	Lewis_34	Lewis_33	Lewis_32	Lewis_31	Lewis_30	Lewis_2	Lewis_29	Lewis_27	Lewis_26	Lewis_25	Lewis_24	Lewis_23	Lewis_22	Lewis_21	Lewis_20	Lewis_1	Lewis_19	Lewis_18	Lewis_17	Lewis_16	Lewis_13	Lewis_12	Lewis_11	Lewis_116	Lewis_115	Lewis_114	Lewis_113	Lewis_112	Lewis_111	Lewis_110	Lewis_10	Lewis_109	Lewis_108	Lewis_107	Lewis_106	Lewis_105	Lewis_104	Lewis_103	Lewis_102	Lewis_101	Lewis_100	italy_8	italy_4	italy_3	italy_2	italy_1	HMP_8	HMP_7	HMP_5	HMP_4	HMP_3	HMP_2	HMP_27	HMP_26	HMP_24	HMP_22	HMP_21	HMP_20	HMP_1	HMP_18	HMP_16	HMP_14	HMP_12	HMP_10	hadza_9	hadza_8	hadza_6	hadza_3	hadza_2	hadza_25	hadza_24	hadza_23	hadza_22	hadza_20	hadza_19	hadza_18	hadza_16	hadza_13	hadza_12	hadza_10
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0.48316	0.26371	0.39094	0.44825	1.15993	0.4014	0.27078	1.04486	0	0.23364	0.52331	0.79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11386	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09393	1.28901	0	0	0.27524	0	0	0.18636	0.05875	0	0.08931	0	0	0	0.07044	0	0	0	0.23543	0	0.0082	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0.53178	0.00948	0	0.92375	0.19283	0.11279	0	0.15587	0.96057	0	0	0.071	2.04274	0.02295	0	0.19489	0.19981	0.18384	0.25834	0	0.09236	0.11753	0.04841	0.04102	0	0	0	0	0	0	0	0.23073	0	0.05969	0	0	0	0	0.01361	0	0	0.15663	0.16765	1.08826	0.03882	0	0	0	0	0	0	0	0	0	0	0.0775	0	0	0.00762	0.11316	0.03627	0.93392	0.17573	0.12253	0.21733	0.80727	0	0.01889	0.00023	0.0703	0	0.23459	0.20247	0.20175	0.26171	0	0.20519	0.1076	0.12738	0	0	0	0	0	0	0.35974	0	1.00093	0	0	0	0.11883	0.30142	0	0.29928	0	0	0.02989	0.51612	0.32285	0	0	0.03321	0	0	0	1.77882	0	1.07712	0	0	0	0	0	0	0	0	0	0.01436	0.00573	0	0.00407	0	0.01243	0.21892	0	0.02475	0	0	0	0	0	0	0	0	0	0	0.07156	0	0.08792	0.03045	0.01946	0.02132	0.04986	0.03576	0.05662	0	0	0.02194	0	0	0.1016
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.48316	0.26371	0.39094	0.44825	1.15993	0.4014	0.27078	1.04486	0	0.23364	0.52331	0.79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11386	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09393	1.28901	0	0	0.27524	0	0	0.18636	0.05875	0	0.08931	0	0	0	0.07044	0	0	0	0.23543	0	0.0082	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0.53178	0.00948	0	0.92375	0.19283	0.11279	0	0.15587	0.96057	0	0	0.071	2.04274	0.02295	0	0.19489	0.19981	0.18384	0.25834	0	0.09236	0.11753	0.04841	0.04102	0	0	0	0	0	0	0	0.23073	0	0.05969	0	0	0	0	0.01361	0	0	0.15663	0.16765	1.08826	0.03882	0	0	0	0	0	0	0	0	0	0	0.0775	0	0	0.00762	0.11316	0.03627	0.93392	0.17573	0.12253	0.21733	0.80727	0	0.01889	0.00023	0.0703	0	0.23459	0.20247	0.20175	0.26171	0	0.20519	0.1076	0.12738	0	0	0	0	0	0	0.35974	0	1.00093	0	0	0	0.11883	0.30142	0	0.29928	0	0	0.02989	0.51612	0.32285	0	0	0.03321	0	0	0	1.77882	0	1.07712	0	0	0	0	0	0	0	0	0	0.01436	0.00573	0	0.00407	0	0.01243	0.21892	0	0.02475	0	0	0	0	0	0	0	0	0	0	0.07156	0	0.08792	0.03045	0.01946	0.02132	0.04986	0.03576	0.05662	0	0	0.02194	0	0	0.1016
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.48316	0.26371	0.39094	0.44825	1.15993	0.4014	0.27078	1.04486	0	0.23364	0.52331	0.79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11386	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09393	1.09706	0	0	0.27524	0	0	0.18636	0.05875	0	0.08931	0	0	0	0.07044	0	0	0	0.23543	0	0.0082	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0.53178	0.00948	0	0.92375	0.19283	0.11279	0	0.15587	0.96057	0	0	0.071	2.04274	0.02295	0	0.19489	0.19981	0.18384	0.25834	0	0.09236	0.11753	0.04841	0.04102	0	0	0	0	0	0	0	0.23073	0	0.05969	0	0	0	0	0.01361	0	0	0.15663	0.16765	1.08826	0.03882	0	0	0	0	0	0	0	0	0	0	0.0775	0	0	0.00762	0.11316	0.03627	0.93392	0.17573	0.12253	0.21733	0.80727	0	0.01889	0.00023	0.0703	0	0.23459	0.20247	0.20175	0.26171	0	0.20519	0.1076	0.12738	0	0	0	0	0	0	0.35974	0	1.00093	0	0	0	0.11883	0.30142	0	0.29928	0	0	0.02989	0.51612	0.32285	0	0	0.03321	0	0	0	1.77882	0	1.07712	0	0	0	0	0	0	0	0	0	0.01436	0.00573	0	0.00407	0	0.01243	0.21892	0	0.02475	0	0	0	0	0	0	0	0	0	0	0.07156	0	0.08792	0.03045	0.01946	0.02132	0.04986	0.03576	0.05662	0	0	0.02194	0	0	0.1016
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.48316	0.26371	0.39094	0.44825	1.15993	0.4014	0.27078	1.04486	0	0.23364	0.52331	0.79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11386	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09393	1.09706	0	0	0.27524	0	0	0.18636	0.05875	0	0.08931	0	0	0	0.07044	0	0	0	0.23543	0	0.0082	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0.53178	0.00948	0	0.92375	0.19283	0.11279	0	0.15587	0.96057	0	0	0.071	2.04274	0.02295	0	0.19489	0.19981	0.18384	0.25834	0	0.09236	0.11753	0.04841	0.04102	0	0	0	0	0	0	0	0.23073	0	0.05969	0	0	0	0	0.01361	0	0	0.15663	0.16765	1.08826	0.03882	0	0	0	0	0	0	0	0	0	0	0.0775	0	0	0.00762	0.11316	0.03627	0.93392	0.17573	0.12253	0.21733	0.80727	0	0.01889	0.00023	0.0703	0	0.23459	0.20247	0.20175	0.26171	0	0.20519	0.1076	0.12738	0	0	0	0	0	0	0.35974	0	1.00093	0	0	0	0.11883	0.30142	0	0.29928	0	0	0.02989	0.51612	0.32285	0	0	0.03321	0	0	0	1.77882	0	1.07712	0	0	0	0	0	0	0	0	0	0.01436	0.00573	0	0.00407	0	0.01243	0.21892	0	0.02475	0	0	0	0	0	0	0	0	0	0	0.07156	0	0.08792	0.03045	0.01946	0.02132	0.04986	0.03576	0.05662	0	0	0.02194	0	0	0.1016
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.48316	0.26371	0.39094	0.44825	1.15993	0.4014	0.27078	1.04486	0	0.23364	0.52331	0.79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11386	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09393	1.09706	0	0	0.27524	0	0	0.18636	0.05875	0	0.08931	0	0	0	0.07044	0	0	0	0.23543	0	0.0082	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0.53178	0.00948	0	0.92375	0.19283	0.11279	0	0.15587	0.96057	0	0	0.071	2.04274	0.02295	0	0.19489	0.19981	0.18384	0.25834	0	0.09236	0.11753	0.04841	0.04102	0	0	0	0	0	0	0	0.23073	0	0.05969	0	0	0	0	0.01361	0	0	0.15663	0.16765	1.08826	0.03882	0	0	0	0	0	0	0	0	0	0	0.0775	0	0	0.00762	0.11316	0.03627	0.93392	0.17573	0.12253	0.21733	0.80727	0	0.01889	0.00023	0.0703	0	0.23459	0.20247	0.20175	0.26171	0	0.20519	0.1076	0.12738	0	0	0	0	0	0	0.35974	0	1.00093	0	0	0	0.11883	0.30142	0	0.29928	0	0	0.02989	0.51612	0.32285	0	0	0.03321	0	0	0	1.77882	0	1.07712	0	0	0	0	0	0	0	0	0	0.01436	0.00573	0	0.00407	0	0.01243	0.21892	0	0.02475	0	0	0	0	0	0	0	0	0	0	0.07156	0	0.08792	0.03045	0.01946	0.02132	0.04986	0.03576	0.05662	0	0	0.02194	0	0	0.1016
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.48316	0.26371	0.39094	0.44825	1.15993	0.4014	0.27078	1.04486	0	0.23364	0.52331	0.79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11386	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09393	1.09706	0	0	0.27524	0	0	0.18636	0.05875	0	0.08931	0	0	0	0.07044	0	0	0	0.23543	0	0.0082	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0.51047	0.00948	0	0.92375	0.19283	0.11279	0	0.15587	0.96057	0	0	0.07068	2.04274	0.02295	0	0.19489	0.19981	0.18384	0.25834	0	0.09236	0.11753	0.04841	0.04102	0	0	0	0	0	0	0	0.23073	0	0.05233	0	0	0	0	0.01361	0	0	0.15663	0.16765	1.08826	0.03357	0	0	0	0	0	0	0	0	0	0	0.0775	0	0	0.00762	0.11316	0.03627	0.93392	0.1614	0.12253	0.21733	0.76338	0	0.01889	0.00023	0.0703	0	0.23459	0.20247	0.20175	0.26171	0	0.20519	0.08225	0.12738	0	0	0	0	0	0	0.35974	0	0.9447	0	0	0	0.11883	0.27335	0	0.26443	0	0	0.02989	0.36159	0.27525	0	0	0.03321	0	0	0	1.77882	0	1.07712	0	0	0	0	0	0	0	0	0	0.01436	0.00573	0	0.00407	0	0.01243	0.21892	0	0.02475	0	0	0	0	0	0	0	0	0	0	0.07156	0	0.08792	0.03045	0.01861	0.02132	0.04986	0.03576	0.05662	0	0	0.02194	0	0	0.1016
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0.48316	0.26371	0.39094	0.44825	1.15993	0.4014	0.27078	1.04486	0	0.23364	0.52331	0.79295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11386	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09393	1.09706	0	0	0.27524	0	0	0.18636	0.05875	0	0.08931	0	0	0	0.07044	0	0	0	0.23543	0	0.0082	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0.51047	0.00948	0	0.92375	0.19283	0.11279	0	0.15587	0.96057	0	0	0.07068	2.04274	0.02295	0	0.19489	0.19981	0.18384	0.25834	0	0.09236	0.11753	0.04841	0.04102	0	0	0	0	0	0	0	0.23073	0	0.05233	0	0	0	0	0.01361	0	0	0.15663	0.16765	1.08826	0.03357	0	0	0	0	0	0	0	0	0	0	0.0775	0	0	0.00762	0.11316	0.03627	0.93392	0.1614	0.12253	0.21733	0.76338	0	0.01889	0.00023	0.0703	0	0.23459	0.20247	0.20175	0.26171	0	0.20519	0.08225	0.12738	0	0	0	0	0	0	0.35974	0	0.9447	0	0	0	0.11883	0.27335	0	0.26443	0	0	0.02989	0.36159	0.27525	0	0	0.03321	0	0	0	1.77882	0	1.07712	0	0	0	0	0	0	0	0	0	0.01436	0.00573	0	0.00407	0	0.01243	0.21892	0	0.02475	0	0	0	0	0	0	0	0	0	0	0.07156	0	0.08792	0.03045	0.01861	0.02132	0.04986	0.03576	0.05662	0	0	0.02194	0	0	0.1016
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213	0	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00736	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01433	0	0	0.04388	0	0	0	0	0	0	0	0	0	0	0	0.02535	0	0	0	0	0	0	0	0	0	0.05623	0	0	0	0	0.02808	0	0.03485	0	0	0	0.15453	0.0476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213	0	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00736	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01433	0	0	0.04388	0	0	0	0	0	0	0	0	0	0	0	0.02535	0	0	0	0	0	0	0	0	0	0.05623	0	0	0	0	0.02808	0	0.03485	0	0	0	0.15453	0.0476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
