.metric,.estimator,.estimate,.config,null_model_avg,seed,program
accuracy,binary,0.9636363636363636,Preprocessor1_Model1,0.6727272727272727,42,taxaHFE_ML_sf
bal_accuracy,binary,0.972972972972973,Preprocessor1_Model1,0.5,42,taxaHFE_ML_sf
f_meas,binary,0.9722222222222222,Preprocessor1_Model1,0.8043478260869564,42,taxaHFE_ML_sf
kap,binary,0.9197080291970803,Preprocessor1_Model1,NA,42,taxaHFE_ML_sf
roc_auc,binary,1,Preprocessor1_Model1,NA,42,taxaHFE_ML_sf
accuracy,binary,0.9454545454545454,Preprocessor1_Model1,0.6727272727272727,42,summarized_level_1
bal_accuracy,binary,0.9309309309309309,Preprocessor1_Model1,0.5,42,summarized_level_1
f_meas,binary,0.9599999999999999,Preprocessor1_Model1,0.8043478260869564,42,summarized_level_1
kap,binary,0.8743335872048743,Preprocessor1_Model1,NA,42,summarized_level_1
roc_auc,binary,0.9744744744744744,Preprocessor1_Model1,NA,42,summarized_level_1
accuracy,binary,0.9818181818181818,Preprocessor1_Model1,0.6727272727272727,42,summarized_level_2
bal_accuracy,binary,0.9722222222222222,Preprocessor1_Model1,0.5,42,summarized_level_2
f_meas,binary,0.9866666666666666,Preprocessor1_Model1,0.8043478260869564,42,summarized_level_2
kap,binary,0.9581111957349581,Preprocessor1_Model1,NA,42,summarized_level_2
roc_auc,binary,1,Preprocessor1_Model1,NA,42,summarized_level_2
accuracy,binary,0.9818181818181818,Preprocessor1_Model1,0.6727272727272727,42,summarized_level_3
bal_accuracy,binary,0.9864864864864865,Preprocessor1_Model1,0.5,42,summarized_level_3
f_meas,binary,0.9863013698630138,Preprocessor1_Model1,0.8043478260869564,42,summarized_level_3
kap,binary,0.9592894152479645,Preprocessor1_Model1,NA,42,summarized_level_3
roc_auc,binary,1,Preprocessor1_Model1,NA,42,summarized_level_3
accuracy,binary,0.9818181818181818,Preprocessor1_Model1,0.6727272727272727,42,summarized_level_4
bal_accuracy,binary,0.9722222222222222,Preprocessor1_Model1,0.5,42,summarized_level_4
f_meas,binary,0.9866666666666666,Preprocessor1_Model1,0.8043478260869564,42,summarized_level_4
kap,binary,0.9581111957349581,Preprocessor1_Model1,NA,42,summarized_level_4
roc_auc,binary,0.996996996996997,Preprocessor1_Model1,NA,42,summarized_level_4
